# Generated by ChargePol,,,,,,,,
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude,
charge,time,zmin,zwidth,x,y,lon,lat,Date
pos,1262.07853,8.69289,2.54474,77.507798,-46.435533,-94.568489,29.34141,4/7/2023
pos,1269.92879,9.63322,1.18553,98.291651,-53.649208,-94.35421,29.276382,4/7/2023
pos,1270.297407,10.68168,1.26163,72.861531,-71.000705,-94.618164,29.119968,4/7/2023
pos,1290.085243,9.55649,2.569479,103.268976,-19.318184,-94.299515,29.585857,4/7/2023
pos,1307.29016,7.81735,1.13339,-45.13598,56.487713,-95.841103,30.269205,4/7/2023
pos,1310.045446,9.02418,2.153301,-30.882445,68.460852,-95.692688,30.377136,4/7/2023
pos,1316.53429,9.2456,2.20436,125.66225,-17.125496,-94.067131,29.605623,4/7/2023
pos,1321.291347,8.89295,2.676319,102.04502,-17.140942,-94.311996,29.605484,4/7/2023
pos,1323.669891,9.90108,1.78628,-101.12804,33.219365,-96.423271,30.059454,4/7/2023
pos,1328.411876,8.68402,1.981971,-56.148474,42.455187,-95.955292,30.14271,4/7/2023
pos,1331.293478,7.92429,2.51802,-44.53131,57.777978,-95.834846,30.280836,4/7/2023
pos,1340.264817,6.53319,1.60148,-13.731657,102.806263,-95.513939,30.686741,4/7/2023
pos,1344.125657,9.8105,1.4036,92.123978,-45.174256,-94.417236,29.352779,4/7/2023
pos,1346.355224,6.73475,4.27631,78.395747,14.166698,-94.554901,29.887705,4/7/2023
pos,1378.368426,7.81758,2.19784,-57.279898,67.507647,-95.96846,30.368544,4/7/2023
pos,1386.632431,10.33909,1.74715,68.210365,-63.387129,-94.665688,29.188601,4/7/2023
pos,1406.839894,9.64765,2.39908,124.731362,15.237546,-94.073013,29.897358,4/7/2023
pos,1408.261059,8.21571,2.59894,-4.900034,102.882858,-95.421364,30.687431,4/7/2023
pos,1408.521047,9.51794,1.37938,-1.113852,102.825941,-95.381676,30.686918,4/7/2023
pos,1417.194865,10.00472,1.9113,67.972306,-66.33434,-94.668327,29.162033,4/7/2023
pos,1417.264109,8.85343,2.37704,120.535364,-19.091785,-94.120506,29.587898,4/7/2023
pos,1433.401773,9.54084,1.19001,-29.336626,67.945846,-95.676521,30.372494,4/7/2023
pos,1435.470793,8.58112,1.73676,-44.745402,58.324933,-95.837105,30.285767,4/7/2023
pos,1436.362287,7.77691,1.5483,86.195125,-5.017576,-94.475357,29.714769,4/7/2023
pos,1440.792623,10.93294,2.20926,66.92001,-69.002255,-94.679352,29.137983,4/7/2023
pos,1462.42671,9.73886,2.845,150.218157,-2.512584,-93.810493,29.73735,4/7/2023
pos,1467.48764,8.70468,3.953311,114.04003,-4.092513,-94.186249,29.723108,4/7/2023
pos,1470.381596,9.49604,3.266229,130.045012,-6.957628,-94.020462,29.697281,4/7/2023
pos,1471.357441,9.36257,2.35214,66.292332,-66.704831,-94.685692,29.158693,4/7/2023
pos,1496.064637,8.83297,1.987431,-98.644098,18.403116,-96.396019,29.925894,4/7/2023
pos,1504.449749,9.47062,2.86251,67.049281,-69.362801,-94.67804,29.134733,4/7/2023
pos,1505.684894,11.24081,1.964671,-127.963507,-33.304372,-96.694817,29.45978,4/7/2023
pos,1532.503435,8.57174,3.501109,112.876255,-0.733762,-94.197975,29.753386,4/7/2023
pos,1533.702349,10.39683,1.41271,102.171093,-4.554833,-94.309494,29.718941,4/7/2023
pos,1561.560906,9.53976,1.84045,68.605178,-65.512955,-94.661743,29.169437,4/7/2023
pos,1579.107778,10.58273,2.24951,134.404544,-5.240167,-93.975006,29.712763,4/7/2023
pos,1592.554405,9.26444,2.462819,155.35405,8.218955,-93.755615,29.834089,4/7/2023
pos,1607.067439,10.09205,2.85542,-118.726484,-16.631226,-96.601013,29.610079,4/7/2023
pos,1623.191425,8.76128,3.28387,-118.53242,3.049011,-96.601173,29.787485,4/7/2023
